Company Name,Ticker,Market Cap (mil),Month of Fiscal Yr End,Sector,Industry,Exchange,Last Close,Last Yr`s EPS (F0) Before NRI,Last Reported Fiscal Yr  (yyyymm),F1 Consensus Est.,F2 Consensus Est.
"Dassault Systemes","DASTY","50873.92","12","Computer and Technology","Computer - Software","OTC","38.01","1.3","202312","1.39","1.5"
"Dayforce, Inc.","DAY","8652.81","12","Computer and Technology","Internet - Software","NYSE","54.73","1.51","202312","1.84","2.15"
"Deutsche Bank","DB","31910.98","12","Finance","Banks - Foreign","NYSE","15.44","2.2","202312","2.29","2.74"
"DBS Group","DBSDY","77786.4","12","Finance","Banks - Foreign","OTC","109.4","10.73","202312","11.43","10.95"
"Dropbox","DBX","7718.9","12","Computer and Technology","Internet - Services","NSDQ","23.72","1.98","202312","2.22","2.39"
"Donaldson","DCI","8757.07","7","Industrial Products","Pollution Control","NYSE","72.73","3.04","202407","3.7","4.18"
"DuPont de Nemours","DD","33104.02","12","Basic Materials","Chemical - Diversified ","NYSE","79.26","3.48","202312","3.72","4.31"
"Datadog","DDOG","39143.38","12","Computer and Technology","Internet - Software","NSDQ","116.1","1.32","202312","1.62","1.85"
"Dillard's","DDS","5705.98","1","Retail-Wholesale","Retail - Regional Department Stores","NYSE","351.49","42.58","202401","32.27","29.9"
"Deere & Company","DE","102674.74","10","Industrial Products","Manufacturing - Farm Equipment","NYSE","372.59","34.63","202310","25.26","23.42"
"Deckers Outdoor","DECK","24106.25","3","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","948.67","29.16","202403","31.58","35.25"
"Dell Technologies","DELL","78527.06","1","Computer and Technology","Computer - Micro Computers","NYSE","110.71","7.13","202401","7.85","9.7"
"Diageo","DEO","71380.3","6","Consumer Staples","Beverages - Alcohol","NYSE","128.43","6.91","202406","7.1","7.19"
"Discover Financial Services","DFS","33959.93","12","Finance","Financial - Consumer Loans","NYSE","135.26","11.26","202312","12.45","12.83"
"Dollar General","DG","26736.99","1","Retail-Wholesale","Retail - Discount Stores","NYSE","121.59","7.55","202401","7.19","8.14"
"Quest Diagnostics","DGX","16798.88","12","Medical","Medical - Outpatient and Home Healthcare","NYSE","150.91","8.71","202312","8.88","9.58"
"D.R. Horton","DHI","58523.9","9","Construction","Building Products - Home Builders","NYSE","179.61","13.82","202309","14.03","15.39"
"DHL Group Sponsored ADR","DHLGY","50544","12","Transportation","Transportation - Services","OTC","42.12","3.28","202312","3.28","3.7"
"Danaher","DHR","196196.41","12","Conglomerates","Diversified Operations","NYSE","271.66","7.58","202312","7.59","8.69"
"","DIA","35193.36","12","Finance","Financial - Investment Funds","NYSE","408.56","","202312","",""
"DiDi Global","DIDIY","18810","12","Medical","Medical Services","OTC","3.87","-.01","202312","",""
"HF Sinclair","DINO","9019.91","12","Oils-Energy","Alternative Energy - Other","NYSE","47.27","9.51","202312","3.69","5.6"
"Diodes","DIOD","3081.05","12","Computer and Technology","Electronics - Semiconductors","NSDQ","66.5","4.81","202312","1.6","3.6"
"Disney","DIS","162751.31","9","Consumer Discretionary","Media Conglomerates","NYSE","89.74","3.76","202309","4.89","5.14"
"D S SMITH","DITHF","8746.77","4","Basic Materials","Paper and Related Products","OTC","6.35",".41","202404",".38",".47"
"Trump Media & Technology Group Corp.","DJT","4169.84","12","Computer and Technology","Internet - Software","NSDQ","21.415","","202312","",""
"Daikin Industries","DKILY","35583.92","3","Computer and Technology","Electronics - Miscellaneous Products","OTC","12.14",".55","202403",".61",".68"
"DraftKings","DKNG","30573.34","12","Consumer Discretionary","Gaming","NSDQ","34.8","-1.73","202312","-.31",".65"
"DICK'S Sporting Goods","DKS","18302.69","1","Retail-Wholesale","Retail - Miscellaneous","NYSE","224.6","12.91","202401","13.76","14.73"
"Deutsche Lufthansa","DLAKY","7550.66","12","Transportation","Transportation - Airline","OTC","6.31","1.74","202312",".92","1.47"
"Dolby Laboratories","DLB","6909.84","9","Consumer Discretionary","Audio Video Production","NYSE","72.47","3.56","202309","3.72","3.93"
"Digital Realty Trust","DLR","48816.99","12","Finance","REIT and Equity Trust - Other","NYSE","149.1","6.59","202312","6.68","7.09"
"Dollar Tree","DLTR","21320.3","1","Retail-Wholesale","Retail - Discount Stores","NSDQ","99.19","5.89","202401","6.62","7.8"
"Dun & Bradstreet","DNB","5266.09","12","Business Services","Business - Information Services","NYSE","11.92","1","202312","1.02","1.12"
"DANSKE BANK","DNKEY","26167.6","12","Finance","Banks - Foreign","OTC","15.28","1.79","202312","1.9","1.99"
"Denali Therapeutics","DNLI","3385.86","12","Medical","Medical - Biomedical and Genetics","NSDQ","23.65","-1.06","202312","-2.55","-2.71"
"","DNP","3246.92","12","Finance","Financial - Investment Funds","NYSE","9.15","","202312","",""
"Dai Nippon Printing Co.","DNPLY","9409.54","3","Industrial Products","Commercial Printing","OTC","16.97",".92","202403","",""
"Denso","DNZOY","46068.93","3","Auto-Tires-Trucks","Automotive - Original Equipment","OTC","15.38",".73","202403","1.25","1.38"
"Healthpeak Properties, Inc.","DOC","15244.55","12","Finance","REIT and Equity Trust - Other","NYSE","21.8","1.78","202312","1.79","1.87"
"DigitalOcean","DOCN","3441.29","12","Computer and Technology","Internet - Software","NYSE","37.38","1.59","202312","1.67","1.82"
"Doximity","DOCS","6726.48","3","Medical","Medical Services","NYSE","36.23",".95","202403","1.05","1.12"
"Docusign","DOCU","11642.22","1","Business Services","Technology Services","NSDQ","56.87","2.98","202401","3.26","3.52"
"BRP","DOOO","5120.64","1","Auto-Tires-Trucks","Automotive - Original Equipment","NSDQ","69.07","8.23","202401","4.49","6.48"
"Dorman Products","DORM","3266.65","12","Auto-Tires-Trucks","Automotive - Replacement Parts","NSDQ","106.85","4.54","202312","6.15","6.66"
"Dover","DOV","24751.99","12","Industrial Products","Manufacturing - General Industrial ","NYSE","180.07","8.8","202312","9.17","9.81"
"Dow","DOW","36952.56","12","Basic Materials","Chemical - Diversified ","NYSE","52.72","2.24","202312","2.63","3.85"
"Amdocs","DOX","9898.88","9","Computer and Technology","Computers - IT Services","NSDQ","84.22","5.91","202309","6.44","7.13"
"Domino's Pizza","DPZ","14935.64","12","Retail-Wholesale","Retail - Restaurants","NYSE","427.06","14.66","202312","16.23","17.89"
"Darden Restaurants","DRI","18753.5","5","Retail-Wholesale","Retail - Restaurants","NYSE","155.15","8.88","202405","9.48","10.4"
"Leonardo DRS, Inc.","DRS","7286.11","12","Aerospace","Aerospace - Defense Equipment","NSDQ","27.63",".73","202312",".84","1"
"DISCO CORP","DSCSY","33587.33","3","Industrial Products","Manufacturing - Material Handling","OTC","30.99",".59","202403",".79",".94"
"DSV","DSDVY","40090.76","12","Transportation","Transportation - Services","OTC","93.67","4.26","202312","3.94","4.25"
"Daiwa Securities Group","DSEEY","11572.6","3","Finance","Financial - Miscellaneous Services","OTC","7.374",".55","202403","",""
"The Descartes Systems Group","DSGX","8566.34","1","Computer and Technology","Computer - Software","NSDQ","100.31","1.34","202401","1.7","2.13"
"Dynatrace","DT","14862.5","3","Computer and Technology","Computers - IT Services","NYSE","49.89","1.2","202403","1.28","1.49"
"DTE Energy","DTE","25438.79","12","Utilities","Utility - Electric Power","NYSE","122.93","5.73","202312","6.7","7.18"
"Deutsche Telekom","DTEGY","139072.33","12","Utilities","Diversified Communication Services","OTC","27.89","1.73","202312","1.96","2.16"
"DT Midstream","DTM","7325.13","12","Oils-Energy","Oil and Gas - Integrated - United States","NYSE","75.43","3.94","202312","3.91","4.27"
"Dufry","DUFRY","5768.82","12","Consumer Discretionary","Consumer Products - Discretionary","OTC","3.78",".12","202312","",""
"Duke Energy","DUK","86780.02","12","Utilities","Utility - Electric Power","NYSE","112.38","5.56","202312","5.97","6.33"
"Duolingo","DUOL","8874.5","12","Business Services","Technology Services","NSDQ","203.83",".35","202312","1.87","2.81"
"DoubleVerify","DV","3266.56","12","Computer and Technology","Internet - Software","NYSE","19.21",".41","202312",".4",".55"
"DaVita","DVA","12381.96","12","Medical","Medical - Outpatient and Home Healthcare","NYSE","147.58","8.47","202312","9.99","11.42"
"Devon Energy","DVN","27577.85","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","44.04","5.71","202312","5.42","6.31"
"","DVY","19278.64","12","Finance","Financial - Investment Funds","NSDQ","129.91","","202312","",""
"Daiwa House Industry Co.","DWAHY","19892.64","3","Construction","Building Products - Mobile Homes and RV Builders","OTC","30.17","2.87","202403","",""
"Deutsche Wohnen","DWHHF","7577.62","12","Finance","Real Estate - Operations","OTC","18.93","-1.15","202312","",""
"Derwent London","DWVYF","3290.12","12","Finance","Real Estate - Operations","OTC","29.3","1.27","202312","1.31","1.31"
"DXC Technology","DXC","3562.02","3","Computer and Technology","Computers - IT Services","NYSE","19.7","3.13","202403","2.89","3.14"
"DexCom","DXCM","29192.95","12","Medical","Medical - Instruments","NSDQ","72.85","1.52","202312","1.69","2.01"
"Dycom Industries","DY","5649.9","1","Construction","Building Products - Heavy Construction","NYSE","194.2","7.37","202401","8.02","8.66"
"Dyne Therapeutics","DYN","4700.77","12","Medical","Medical - Drugs","NSDQ","46.82","-3.95","202312","-2.96","-3.07"
"Eni","E","54099.4","12","Oils-Energy","Oil and Gas - Integrated - International","NYSE","32.05","5.32","202312","4.16","4.46"
"Electronic Arts","EA","39379","3","Consumer Discretionary","Gaming","NSDQ","149.05","6.95","202403","7.74","8.53"
"Airbus Group","EADSY","121675.76","12","Aerospace","Aerospace - Defense","OTC","38.46","1.3","202312","1.54","2.01"
"eBay","EBAY","27843.66","12","Retail-Wholesale","Internet - Commerce","NSDQ","56.94","4.24","202312","4.8","5.13"
"Eastern Bankshares","EBC","3344.71","12","Finance","Banks - Northeast","NSDQ","15.51","1","202312","1.14","1.48"
"Erste Group Bank","EBKDY","22417.82","12","Finance","Banks - Foreign","OTC","26.63","3.68","202312","4.11","4.12"
"Centrais Eltricas Brasileiras","EBR","17443.31","12","Utilities","Utility - Electric Power","NYSE","7.58",".43","202312",".32",".15"
"Ecopetrol","EC","20907.84","12","Oils-Energy","Oil and Gas - Integrated - Emerging Markets","NYSE","10.17","2.38","202312","2.34","2.53"
"Ecolab","ECL","69020.3","12","Basic Materials","Chemical - Specialty","NYSE","242.57","5.21","202312","6.65","7.47"
"Consolidated Edison","ED","34673.56","12","Utilities","Utility - Electric Power","NYSE","100.17","5.07","202312","5.31","5.61"
"EDENRED","EDNMY","9983.52","12","Business Services","Technology Services","OTC","20",".55","202312","1.1","1.27"
"Endeavor Group","EDR","18813.36","12","Consumer Discretionary","Media Conglomerates","NYSE","27.49",".79","202312","1.88","1.46"
"New Oriental Education & Technology Group","EDU","11379.86","5","Consumer Discretionary","Schools","NYSE","67.06","2.27","202405","3.43","4.7"
"Euronet Worldwide","EEFT","4604.61","12","Finance","Financial - Miscellaneous Services","NSDQ","102.52","7.46","202312","8.64","9.7"
"","EEM","17711.3","12","Finance","Financial - Investment Funds","NYSE","43.49","","202312","",""
"","EFA","56515.03","12","Finance","Financial - Investment Funds","NYSE","81.06","","202312","",""
"Equifax","EFX","36697.74","12","Business Services","Financial Transaction Services","NYSE","296.58","6.71","202312","7.32","9.48"
"Everest Group, Ltd.","EG","16324.51","12","Finance","Insurance - Multi line","NYSE","377.24","66.39","202312","61.66","68.39"
"Eldorado Gold","EGO","3669.4","12","Basic Materials","Mining - Gold","NYSE","17.92",".57","202312","1.35","1.28"
"EastGroup Properties","EGP","8929.81","12","Finance","REIT and Equity Trust - Other","NYSE","183.25","7.79","202312","8.31","8.99"
"Encompass Health","EHC","8918.42","12","Medical","Medical - Outpatient and Home Healthcare","NYSE","88.63","3.64","202312","4.17","4.61"
"Edison International","EIX","32326.85","12","Utilities","Utility - Electric Power","NYSE","83.71","4.76","202312","4.94","5.63"
"The Estee Lauder Companies","EL","32618.56","6","Consumer Staples","Cosmetics","NYSE","90.97","2.59","202406","3.77","4.67"
"Elanco Animal Health","ELAN","7256.69","12","Medical","Medical - Outpatient and Home Healthcare","NYSE","14.68",".89","202312",".91","1.01"
"e.l.f. Beauty","ELF","9097.11","3","Consumer Staples","Cosmetics","NYSE","161.33","3.18","202403","3.54","4.48"
"Companhia Paranaense de Energia COPEL","ELP","4241.66","12","Utilities","Utility - Electric Power","NYSE","7.75",".15","202312",".13",".14"
"Companhia Paranaense de Energia - Copel Unsponsored ADR","ELPC","7415.15","12","Utilities","Utility - Electric Power","NYSE","6.93","","202312","",""
"Equity Lifestyle Properties","ELS","13205.51","12","Finance","REIT and Equity Trust - Residential","NYSE","70.8","2.75","202312","2.91","3.08"
"Elevance Health, Inc.","ELV","125923.3","12","Medical","Medical Services","NYSE","543.04","33.14","202312","37.25","41.65"
"","EMB","15525.46","12","Finance","Financial - Investment Funds","NSDQ","92.03","","202312","",""
"EMCOR Group","EME","17137.25","12","Construction","Building Products - Heavy Construction","NYSE","367.3","13.34","202312","18","19.58"
"Eastman Chemical","EMN","11372.85","12","Basic Materials","Chemical - Diversified ","NYSE","97.32","6.4","202312","7.66","9.06"
"Emerson Electric Co.","EMR","59056.83","9","Industrial Products","Manufacturing - Electronics","NYSE","103.12","4.44","202309","5.48","5.96"
"Enbridge","ENB","85028.25","12","Oils-Energy","Oil and Gas - Production and Pipelines","NYSE","39.05","2.07","202312","2.06","2.15"
"Enersis Chile","ENIC","3887.16","12","Utilities","Utility - Electric Power","NYSE","2.81",".55","202312","",""
"EnLink Midstream","ENLC","6169.58","12","Oils-Energy","Oil and Gas - Refining and Marketing","NYSE","13.37",".48","202312",".55",".74"
"Enphase Energy","ENPH","15841.69","12","Oils-Energy","Solar","NSDQ","116.98","4.41","202312","2.58","4.75"
"Enersys","ENS","3829.29","3","Industrial Products","Manufacturing - Electronics","NYSE","95.15","8.35","202403","8.97","10.02"
"The Ensign Group","ENSG","8208.38","12","Medical","Medical - Nursing Homes","NSDQ","143.72","4.77","202312","5.44","5.99"
"Entegris","ENTG","16923.17","12","Computer and Technology","Electronics - Manufacturing Machinery","NSDQ","112.09","2.64","202312","3.14","4.1"
"Envestnet","ENV","3468.84","12","Business Services","Financial Transaction Services","NYSE","62.8","2.12","202312","2.63","3.02"
"EOG Resources","EOG","71217.09","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","125.25","11.69","202312","12.18","12.82"
"EPAM Systems","EPAM","11371.7","12","Computer and Technology","Computers - IT Services","NYSE","199.73","10.59","202312","10.23","10.94"
"Enterprise Products Partners","EPD","63220.89","12","Oils-Energy","Oil and Gas - Production Pipeline - MLB","NYSE","29.13","2.53","202312","2.71","2.84"
"EPR Properties","EPR","3433.97","12","Finance","REIT and Equity Trust - Retail","NYSE","45.35","5.22","202312","4.83","4.99"
"Essential Properties Realty Trust","EPRT","5387.9","12","Finance","REIT and Equity Trust - Retail","NYSE","30.73","1.65","202312","1.74","1.87"
"Equitable Holdings","EQH","12838.32","12","Finance","Financial - Miscellaneous Services","NYSE","40.15","4.59","202312","6.01","7.08"
"Equinix","EQIX","78789.16","12","Finance","REIT and Equity Trust - Retail","NSDQ","829.84","32.11","202312","35.05","37.93"
"Equinor","EQNR","75460.95","12","Oils-Energy","Oil and Gas - Refining and Marketing","NYSE","27.02","3.43","202312","3.39","3.41"
"Equity Residential","EQR","27290.2","12","Finance","REIT and Equity Trust - Residential","NYSE","71.98","3.78","202312","3.88","4.01"
"EQT","EQT","14678.79","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NYSE","33.24","2.29","202312","1.45","3.65"
"Ericsson","ERIC","23995.24","12","Computer and Technology","Wireless Equipment","NSDQ","7.2",".43","202312",".34",".51"
"Erie Indemnity","ERIE","24431.42","12","Finance","Insurance - Brokerage","NSDQ","467.14","8.53","202312","11.41","14.3"
"Eversource Energy","ES","23587.39","12","Utilities","Utility - Electric Power","NYSE","66","4.34","202312","4.56","4.8"
"ESAB Corporation","ESAB","5960.67","12","Industrial Products","Metal Products - Procurement and Fabrication","NYSE","98.62","4.46","202312","4.84","5.3"
"ESCO Technologies","ESE","3046.8","9","Industrial Products","Manufacturing - Electronics","NYSE","118.31","3.7","202309","4.22","4.85"
"Enstar Group Limited","ESGR","4897.28","12","Finance","Insurance - Multi line","NSDQ","321.52","69.74","202312","",""
"Element Solutions","ESI","6140.73","12","Basic Materials","Chemical - Specialty","NYSE","25.36","1.29","202312","1.42","1.68"
"EssilorLuxottica","ESLOY","107103.95","12","Medical","Medical - Products","OTC","117.1","3.54","202312","3.67","4.09"
"Elbit Systems","ESLT","8954.78","12","Aerospace","Aerospace - Defense Equipment","NSDQ","201.44","6.7","202312","7.8","8.3"
"Essent Group","ESNT","6504.56","12","Finance","Financial - Mortgage & Related Services","NYSE","61.22","6.5","202312","7.02","7.15"
"Essex Property Trust","ESS","18439.53","12","Finance","REIT and Equity Trust - Residential","NYSE","287.14","15.03","202312","15.52","15.92"
"Elastic","ESTC","11228.34","4","Business Services","Technology Services","NYSE","110.39","1.19","202404","1.41","1.87"
"Energy Transfer","ET","54961.07","12","Oils-Energy","Oil and Gas - Production Pipeline - MLB","NYSE","16.06","1.09","202312","1.4","1.62"
"Eaton","ETN","117933.14","12","Industrial Products","Manufacturing - Electronics","NYSE","296.24","9.12","202312","10.68","11.97"
"Entergy","ETR","25420.21","12","Utilities","Utility - Electric Power","NYSE","118.88","6.77","202312","7.21","7.73"
"Etsy","ETSY","6226.46","12","Retail-Wholesale","Internet - Commerce","NSDQ","54.26","2.42","202312","2.36","2.79"
"Evolent Health","EVH","3250.32","12","Computer and Technology","Internet - Software","NYSE","27.95",".87","202312","1.32","1.62"
"Evercore","EVR","9080.17","12","Finance","Financial - Investment Bank","NYSE","236.86","6.46","202312","10.35","16.51"
"Evergy","EVRG","13303.09","12","Utilities","Utility - Electric Power","NSDQ","57.85","3.54","202312","3.84","4.04"
"Edwards Lifesciences","EW","41794.51","12","Medical","Medical - Instruments","NYSE","69.38","2.51","202312","2.7","2.79"
"East West Bancorp","EWBC","11121.68","12","Finance","Banks - West","NSDQ","80.24","8.56","202312","8.19","8.58"
"","EWJ","15722.99","12","Finance","Financial - Investment Funds","NYSE","70.02","","202312","",""
"","EWU","3140.93","12","Finance","Financial - Investment Funds","NYSE","36.48","","202312","",""
"","EWY","5119.9","12","Finance","Financial - Investment Funds","NYSE","66.32","","202312","",""
"","EWZ","4316.71","12","Finance","Financial - Investment Funds","NYSE","30.55","","202312","",""
"Exact Sciences","EXAS","10868.16","12","Medical","Medical - Biomedical and Genetics","NSDQ","58.82","-1.13","202312","-.95","-.06"
"Exelon","EXC","37558.7","12","Utilities","Utility - Electric Power","NSDQ","37.54","2.38","202312","2.44","2.62"
"Exelixis","EXEL","7553.46","12","Medical","Medical - Biomedical and Genetics","NSDQ","26.48",".9","202312","1.79","1.87"
"EXL Service","EXLS","5704.04","12","Business Services","Outsourcing","NSDQ","35.34","1.43","202312","1.61","1.86"
"Eagle Materials","EXP","8369.11","3","Construction","Building Products - Concrete and Aggregates","NYSE","248.94","13.61","202403","15.72","17.81"
"Expeditors International of Washington","EXPD","16926.88","12","Transportation","Transportation - Services","NYSE","119.94","5.01","202312","4.98","5.3"
"Expedia Group","EXPE","17381.56","12","Retail-Wholesale","Internet - Commerce","NSDQ","133.52","9.69","202312","11.53","14.13"
"Experian","EXPGY","42968.74","3","Business Services","Business - Information Services","OTC","46.74","1.44","202403","1.59","1.78"
"Exponent","EXPO","5257.73","12","Business Services","Consulting Services","NSDQ","103.64","1.94","202312","2.04","2.1"
"Extra Space Storage","EXR","35892.24","12","Finance","REIT and Equity Trust - Other","NYSE","169.36","8.1","202312","8.06","8.29"
"","EZU","7734.18","12","Finance","Financial - Investment Funds","AMEX","50.32","","202312","",""
"Ford Motor","F","42455.67","12","Auto-Tires-Trucks","Automotive - Domestic","NYSE","10.68","2.01","202312","1.88","1.98"
"First American Financial","FAF","6330.68","12","Finance","Insurance - Property and Casualty","NYSE","61.53","3.8","202312","3.89","5.06"
"Diamondback Energy","FANG","33850.35","12","Oils-Energy","Oil and Gas - Exploration and Production - United States","NSDQ","189.75","18.01","202312","19.19","20.84"
"Fanuc","FANUY","28120.58","3","Industrial Products","Industrial Automation and Robotics","OTC","14.125",".49","202403",".47",".49"
"Fastenal","FAST","38310.02","12","Retail-Wholesale","Building Products - Retail","NSDQ","66.9","2.02","202312","2.04","2.19"
"Fortune Brands Innovations, Inc.","FBIN","9578.63","12","Retail-Wholesale","Retail - Home Furnishings","NYSE","77.18","3.91","202312","4.29","4.72"
"First BanCorp.","FBP","3354.33","12","Finance","Banks - Southeast","NYSE","20.47","1.71","202312","1.73","1.95"
"FirstCash ","FCFS","5229.31","12","Business Services","Financial Transaction Services","NSDQ","116.85","6.06","202312","6.56","7.85"
"FTI Consulting","FCN","8008.71","12","Business Services","Consulting Services","NYSE","223.07","7.71","202312","8.48","9.41"
"First Citizens BancShares","FCNCA","28922.54","12","Finance","Banks - Southeast","NSDQ","1999.35","175.22","202312","200.92","201.45"
"FreeportMcMoRan","FCX","62546.36","12","Basic Materials","Mining - Non Ferrous","NYSE","43.53","1.54","202312","1.68","2.34"
"","FDN","5694.07","12","Finance","Financial - Investment Funds","NYSE","201.56","","202312","",""
"FactSet Research Systems","FDS","15683.51","8","Business Services","Business - Information Services","NYSE","412.29","14.55","202308","16.32","17.49"
"FedEx","FDX","70466.54","5","Transportation","Transportation - Air Freight and Cargo","NYSE","288.44","17.8","202405","20.93","23.11"
"FirstEnergy","FE","24874.09","12","Utilities","Utility - Electric Power","NYSE","43.19","2.56","202312","2.7","2.89"
"Franklin Electric Co.","FELE","4538.44","12","Industrial Products","Manufacturing - Electronics","NSDQ","99.37","4.11","202312","4.22","4.63"
"Ferrovial SE","FER","30220.08","12","Finance","Real Estate - Operations","NSDQ","40.8","","202312",".85","1.06"
"Ferguson plc","FERG","41710.77","7","Industrial Products","Manufacturing - General Industrial ","NYSE","206.55","9.84","202407","10.65","12.01"
"First Financial Bankshares","FFIN","5006.92","12","Finance","Banks - Southwest","NSDQ","35.05","1.39","202312","1.52","1.63"
"F5","FFIV","11561.89","9","Computer and Technology","Internet - Software","NSDQ","198.37","11.7","202309","13.16","14"
"F&G Annuities & Life, Inc.","FG","5056.55","12","Finance","Insurance - Life Insurance","NYSE","40.1","2.68","202312","4.47","5.3"
"First Horizon","FHN","8472.47","12","Finance","Banks - Southwest","NYSE","15.81","1.43","202312","1.46","1.56"
"Fiserv","FI","96744.85","12","Business Services","Financial Transaction Services","NYSE","168.04","7.52","202312","8.74","10.11"
"First Interstate BancSystem","FIBK","3016.21","12","Finance","Banks - Midwest","NSDQ","28.85","2.57","202312","2.34","2.55"
"Fair Isaac","FICO","42907.43","9","Computer and Technology","Computers - IT Services","NYSE","1750","19.71","202309","23.76","29.44"
"First National of Nebraska","FINN","3221.59","12","Finance","Banks - West","OTC","12000","","202312","",""
"Fidelity National Information Services","FIS","42837.84","12","Business Services","Financial Transaction Services","NYSE","78.52","3.37","202312","5.05","5.63"
"Fifth Third Bancorp","FITB","27505.05","12","Finance","Banks - Major Regional","NSDQ","40.64","3.22","202312","3.31","3.56"
"Five Below","FIVE","4257.54","1","Retail-Wholesale","Retail - Miscellaneous","NSDQ","77.31","5.41","202401","4.78","5.35"
"Comfort Systems USA","FIX","11798.61","12","Construction","Building Products - Air Conditioner and Heating","NYSE","330.71","8.74","202312","13.19","15.31"
"National Beverage","FIZZ","4276.61","4","Consumer Staples","Beverages - Soft drinks","NSDQ","45.7","1.89","202404","",""
"Fujitsu","FJTSY","32770.5","3","Computer and Technology","Computers - IT Services","OTC","17.39",".94","202403","",""
"Foot Locker","FL","3088.75","1","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","32.61","1.42","202401","1.52","2.15"
"Flex","FLEX","12507.75","3","Computer and Technology","Electronics - Miscellaneous Products","NSDQ","31.5","2.15","202403","2.42","2.8"
"Fluence Energy","FLNC","3189.27","9","Oils-Energy","Alternative Energy - Other","NSDQ","17.67","-.6","202309",".1",".65"
"Flowers Foods","FLO","4873.22","12","Consumer Staples","Food - Miscellaneous","NYSE","23.14","1.2","202312","1.25","1.32"
"Fluor","FLR","8276.64","12","Construction","Engineering - R and D Services","NYSE","48.32","2.73","202312","2.9","3.23"
"Flowserve","FLS","6207.44","12","Industrial Products","Manufacturing - General Industrial ","NYSE","47.25","2.1","202312","2.76","3.16"
"Flutter Entertainment PLC","FLUT","36375.01","12","Consumer Discretionary","Gaming","NYSE","204.85","","202312","4.07","5.76"
"FMC","FMC","7902.63","12","Basic Materials","Chemical - Diversified ","NYSE","63.31","3.78","202312","3.41","4.71"
"Fresenius Medical Care AG & Co.","FMS","10956.06","12","Medical","Medical - Instruments","NYSE","18.67","1.39","202312","1.51","1.86"
"Fomento Economico Mexicano","FMX","39438.59","12","Consumer Staples","Beverages - Soft drinks","NYSE","110.23","5.65","202312","5.12","5.69"
"Fabrinet","FN","9686.93","6","Computer and Technology","Electronics - Miscellaneous Components","NYSE","268","8.88","202406","9.52","11.25"
"F.N.B.","FNB","5087.93","12","Finance","Banks - Southeast","NYSE","14.15","1.57","202312","1.38","1.5"
"Floor & Decor","FND","11395.76","12","Retail-Wholesale","Retail - Apparel and Shoes","NYSE","106.34","2.28","202312","1.67","2.04"
"Fidelity National Financial","FNF","15502.43","12","Finance","Insurance - Property and Casualty","NYSE","56.69","3.55","202312","4.58","5.63"
"Fresnillo","FNLPF","5379.32","12","Basic Materials","Mining - Silver","OTC","7.3",".31","202312",".52",".87"
"FrancoNevada","FNV","24014.85","12","Basic Materials","Mining - Gold","NYSE","124.8","3.56","202312","3.2","3.6"
"Amicus Therapeutics","FOLD","3535.36","12","Medical","Medical - Biomedical and Genetics","NSDQ","11.92","-.51","202312",".2",".53"
"FormFactor","FORM","3815.3","12","Computer and Technology","Electronics - Semiconductors","NSDQ","49.3",".73","202312","1.16","1.69"
"Shift4 Payments","FOUR","7013.17","12","Business Services","Financial Transaction Services","NYSE","79.16","2.83","202312","3.86","5.03"
"Fox","FOX","17097.45","6","Consumer Discretionary","Broadcast Radio and Television","NSDQ","37.15","3.43","202406","3.59","3.78"
"Fox","FOXA","18441.31","6","Consumer Discretionary","Broadcast Radio and Television","NSDQ","40.07","3.43","202406","3.72","3.73"
"First Quantum Minerals","FQVLF","10260.04","12","Basic Materials","Mining - Non Ferrous","OTC","12.3",".38","202312","-.24",".5"
"First Industrial Realty Trust","FR","7215.51","12","Finance","REIT and Equity Trust - Other","NYSE","54.52","2.44","202312","2.62","2.89"
"Fairfax Financial","FRFHF","26955.56","12","Finance","Insurance - Property and Casualty","OTC","1153.37","173.24","202312","",""
"Freedom Holding","FRHC","5127.71","3","Finance","Financial - Miscellaneous Services","NSDQ","87.79","6.33","202403","",""
"FRONTLINE PLC","FRO","5443.13","12","Transportation","Transportation - Shipping","NYSE","24.45","2.63","202312","3.06","3.21"
"Freshpet","FRPT","6244.21","12","Consumer Staples","Food - Miscellaneous","NSDQ","128.93","-.7","202312","1.1","1.46"
"Freshwork","FRSH","3664.36","12","Computer and Technology","Internet - Software","NSDQ","12.13",".26","202312",".33",".41"
"Federal Realty Investment Trust","FRT","9363.69","12","Finance","REIT and Equity Trust - Retail","NYSE","112.88","6.55","202312","6.8","7.15"
"FS KKR Capital Corp.","FSK","5444.49","12","Finance","Financial - SBIC & Commercial Industry","NYSE","19.44","3.11","202312","2.86","2.62"
"First Solar","FSLR","23571.73","12","Oils-Energy","Solar","NSDQ","220.2","7.74","202312","13.58","21.25"
"Fresenius SE & Co.","FSNUY","20016.72","12","Medical","Medical - Outpatient and Home Healthcare","OTC","8.96",".72","202312",".8",".94"
"Federal Signal","FSS","5651.12","12","Conglomerates","Diversified Operations","NYSE","92.42","2.58","202312","3.24","3.64"
